filename,location_label,bbox,wifi_timestamp
keyframe_1780237787096.jpg,Unlabeled,"[938, 1394, 1747, 1801]",1780239222838
keyframe_1780237787096.jpg,Unlabeled,"[1179, 1318, 2048, 2725]",1780239222838
keyframe_1780237787096.jpg,Unlabeled,"[1164, 1289, 2414, 2727]",1780239222838
keyframe_1780237787096.jpg,Unlabeled,"[952, 1397, 1608, 1737]",1780239222838
keyframe_1780239293960.jpg,Room 1,"[502, 1756, 1123, 2119]",1780239250705
keyframe_1780239293960.jpg,Room 1,"[1283, 15, 1382, 304]",1780239250705
keyframe_1780239293960.jpg,Room 1,"[1414, 697, 1481, 882]",1780239250705
keyframe_1780239291385.jpg,Room 1,"[500, 943, 759, 1312]",1780239250705
keyframe_1780239291385.jpg,Room 1,"[268, 953, 505, 1314]",1780239250705
keyframe_1780239291385.jpg,Room 1,"[1848, 1936, 2447, 3258]",1780239250705
keyframe_1780239291385.jpg,Room 1,"[5, 953, 266, 1333]",1780239250705
keyframe_1780237765211.jpg,Unlabeled,"[1606, 1837, 2320, 2189]",1780239222838
keyframe_1780237765211.jpg,Unlabeled,"[1852, 1289, 2447, 1925]",1780239222838
keyframe_1780237765211.jpg,Unlabeled,"[0, 1158, 193, 1613]",1780239222838
keyframe_1780237765211.jpg,Unlabeled,"[0, 1952, 338, 3254]",1780239222838
keyframe_1780237765211.jpg,Unlabeled,"[1172, 1152, 1804, 1917]",1780239222838
keyframe_1780237792855.jpg,Unlabeled,"[1948, 1015, 2329, 1554]",1780239222838
keyframe_1780237792855.jpg,Unlabeled,"[101, 1410, 317, 1668]",1780239222838
keyframe_1780237792855.jpg,Unlabeled,"[1468, 1027, 1793, 1571]",1780239222838
keyframe_1780237764696.jpg,Unlabeled,"[1269, 1623, 1825, 1852]",1780239222838
keyframe_1780237764696.jpg,Unlabeled,"[1467, 1156, 2248, 1672]",1780239222838
keyframe_1780237764696.jpg,Unlabeled,"[2023, 1751, 2446, 3258]",1780239222838
keyframe_1780237764696.jpg,Unlabeled,"[1261, 1514, 1827, 1848]",1780239222838
